,Close
2015-01-02,106.88
2015-01-05,100.69
2015-01-06,98.92
2015-01-07,98.08
2015-01-08,100.53
2015-01-09,101.05
2015-01-12,96.12
2015-01-13,97.03
2015-01-14,95.9
2015-01-15,91.89
2015-01-16,98.95
2015-01-20,98.62
2015-01-21,102.82
2015-01-22,102.51
2015-01-23,100.25
2015-01-26,103.0
2015-01-27,104.11
2015-01-28,100.79
2015-01-29,100.64
2015-01-30,103.2
2015-02-02,107.41
2015-02-03,113.4
2015-02-04,110.11
2015-02-05,112.29
2015-02-06,110.09
2015-02-09,107.92
2015-02-10,106.72
2015-02-11,106.75
2015-02-12,110.97
2015-02-13,112.01
2015-02-17,112.54
2015-02-18,113.14
2015-02-19,117.07
2015-02-20,115.9
2015-02-23,115.69
2015-02-24,114.63
2015-02-25,117.06
2015-02-26,112.69
2015-02-27,109.68
2015-03-02,109.85
2015-03-03,110.69
2015-03-04,110.05
2015-03-05,111.1
2015-03-06,109.44
2015-03-09,108.2
2015-03-10,107.37
2015-03-11,107.75
2015-03-12,106.93
2015-03-13,106.75
2015-03-16,107.59
2015-03-17,106.2
2015-03-18,110.58
2015-03-19,107.23
2015-03-20,110.62
2015-03-23,108.72
2015-03-24,109.9
2015-03-25,111.58
2015-03-26,113.58
2015-03-27,112.5
2015-03-30,115.52
2015-03-31,115.09
2015-04-01,116.51
2015-04-02,118.65
2015-04-06,123.21
2015-04-07,124.17
2015-04-08,122.12
2015-04-09,125.82
2015-04-10,125.01
2015-04-13,124.09
2015-04-14,127.01
2015-04-15,129.44
2015-04-16,128.69
2015-04-17,128.2
2015-04-20,127.03
2015-04-21,124.24
2015-04-22,123.15
2015-04-23,123.69
2015-04-24,121.51
2015-04-27,120.35
2015-04-28,122.84
2015-04-29,126.2
2015-04-30,124.4
2015-05-01,122.79
2015-05-04,123.17
2015-05-05,119.22
2015-05-06,119.79
2015-05-07,118.54
2015-05-08,118.44
2015-05-11,115.73
2015-05-12,117.92
2015-05-13,116.93
2015-05-14,114.82
2015-05-15,114.99
2015-05-18,116.43
2015-05-19,114.76
2015-05-20,116.31
2015-05-21,119.73
2015-05-22,118.34
2015-05-26,116.43
2015-05-27,116.97
2015-05-28,114.36
2015-05-29,115.51
2015-06-01,115.11
2015-06-02,116.44
2015-06-03,116.24
2015-06-04,114.79
2015-06-05,116.98
2015-06-08,116.7
2015-06-09,118.86
2015-06-10,121.3
2015-06-11,119.86
2015-06-12,118.21
2015-06-15,118.89
2015-06-16,120.9
2015-06-17,119.89
2015-06-18,119.13
2015-06-19,117.22
2015-06-22,117.49
2015-06-23,117.73
2015-06-24,116.8
2015-06-25,115.76
2015-06-26,112.72
2015-06-29,109.22
2015-06-30,110.31
2015-07-01,108.0
2015-07-02,107.39
2015-07-06,105.59
2015-07-07,106.77
2015-07-08,103.69
2015-07-09,105.66
2015-07-10,105.28
2015-07-13,106.31
2015-07-14,109.01
2015-07-15,106.06
2015-07-16,105.49
2015-07-17,103.55
2015-07-20,101.57
2015-07-21,103.16
2015-07-22,103.62
2015-07-23,105.12
2015-07-24,103.2
2015-07-27,99.95
2015-07-28,102.39
2015-07-29,105.8
2015-07-30,105.77
2015-07-31,104.12
2015-08-03,102.4
2015-08-04,104.34
2015-08-05,108.12
2015-08-06,112.85
2015-08-07,110.91
2015-08-10,114.88
2015-08-11,114.57
2015-08-12,118.8
2015-08-13,115.35
2015-08-14,116.34
2015-08-17,115.28
2015-08-18,117.29
2015-08-19,112.39
2015-08-20,109.72
2015-08-21,106.5
2015-08-24,98.93
2015-08-25,99.19
2015-08-26,101.01
2015-08-27,105.13
2015-08-28,107.75
2015-08-31,110.51
2015-09-01,105.61
2015-09-02,107.97
2015-09-03,108.19
2015-09-04,107.28
2015-09-08,110.57
2015-09-09,107.9
2015-09-10,108.71
2015-09-11,105.99
2015-09-14,104.01
2015-09-15,105.03
2015-09-16,109.26
2015-09-17,109.0
2015-09-18,103.97
2015-09-21,103.59
2015-09-22,103.65
2015-09-23,101.9
2015-09-24,102.46
2015-09-25,101.86
2015-09-28,97.67
2015-09-29,99.53
2015-09-30,102.48
2015-10-01,103.77
2015-10-02,109.06
2015-10-05,112.14
2015-10-06,113.51
2015-10-07,117.67
2015-10-08,122.2
2015-10-09,122.57
2015-10-12,121.54
2015-10-13,118.73
2015-10-14,120.0
2015-10-15,121.88
2015-10-16,122.96
2015-10-19,116.53
2015-10-20,115.78
2015-10-21,114.82
2015-10-22,117.82
2015-10-23,117.03
2015-10-26,114.15
2015-10-27,112.99
2015-10-28,116.53
2015-10-29,117.81
2015-10-30,118.06
2015-11-02,117.3
2015-11-03,120.72
2015-11-04,118.6
2015-11-05,115.94
2015-11-06,117.76
2015-11-09,117.35
2015-11-10,117.62
2015-11-11,115.5
2015-11-12,112.62
2015-11-13,112.71
2015-11-16,117.38
2015-11-17,116.52
2015-11-18,118.63
2015-11-19,115.32
2015-11-20,115.0
2015-11-23,118.58
2015-11-24,122.03
2015-11-25,120.7
2015-11-27,118.03
2015-11-30,119.02
2015-12-01,122.29
2015-12-02,115.87
2015-12-03,115.37
2015-12-04,113.8
2015-12-07,105.97
2015-12-08,104.91
2015-12-09,104.18
2015-12-10,106.42
2015-12-11,101.37
2015-12-14,102.19
2015-12-15,105.09
2015-12-16,100.56
2015-12-17,95.74
2015-12-18,90.82
2015-12-21,86.18
2015-12-22,85.27
2015-12-23,92.28
2015-12-24,91.6
2015-12-28,89.3
2015-12-29,90.45
2015-12-30,89.51
2015-12-31,89.38
2016-01-04,90.0
2016-01-05,90.58
2016-01-06,85.04
2016-01-07,81.86
2016-01-08,82.32
2016-01-11,80.74
2016-01-12,80.07
2016-01-13,80.09
2016-01-14,84.96
2016-01-15,84.32
2016-01-19,81.19
2016-01-20,77.66
2016-01-21,80.47
2016-01-22,84.37
2016-01-25,75.6
2016-01-26,81.37
2016-01-27,84.52
2016-01-28,88.88
2016-01-29,93.0
2016-02-01,87.23
2016-02-02,84.39
2016-02-03,89.56
2016-02-04,88.67
2016-02-05,84.87
2016-02-08,85.41
2016-02-09,81.95
2016-02-10,83.37
2016-02-11,81.16
2016-02-12,84.67
2016-02-16,84.28
2016-02-17,84.69
2016-02-18,82.6
2016-02-19,85.58
2016-02-22,87.9
2016-02-23,86.27
2016-02-24,84.88
2016-02-25,84.53
2016-02-26,85.58
2016-02-29,84.03
2016-03-01,85.96
2016-03-02,89.86
2016-03-03,88.09
2016-03-04,90.65
2016-03-07,95.47
2016-03-08,90.74
