,Close
2011-01-03,32.4
2011-01-04,31.42
2011-01-05,32.27
2011-01-06,31.7
2011-01-07,31.53
2011-01-10,32.42
2011-01-11,32.38
2011-01-12,32.37
2011-01-13,32.38
2011-01-14,32.47
2011-01-18,32.04
2011-01-19,31.99
2011-01-20,31.9
2011-01-21,32.44
2011-01-24,32.24
2011-01-25,32.06
2011-01-26,32.2
2011-01-27,32.91
2011-01-28,32.58
2011-01-31,32.65
2011-02-01,33.24
2011-02-02,32.62
2011-02-03,33.32
2011-02-04,34.02
2011-02-07,34.23
2011-02-08,34.39
2011-02-09,34.65
2011-02-10,34.83
2011-02-11,35.45
2011-02-14,35.42
2011-02-15,35.66
2011-02-16,36.6
2011-02-17,36.42
2011-02-18,36.83
2011-02-22,35.69
2011-02-23,34.59
2011-02-24,34.01
2011-02-25,35.25
2011-02-28,35.37
2011-03-01,34.63
2011-03-02,34.86
2011-03-03,35.38
2011-03-04,35.15
2011-03-07,34.4
2011-03-08,34.97
2011-03-09,35.2
2011-03-10,33.4
2011-03-11,33.45
2011-03-14,32.85
2011-03-15,33.06
2011-03-16,32.76
2011-03-17,32.84
2011-03-18,33.12
2011-03-21,33.82
2011-03-22,32.63
2011-03-23,32.28
2011-03-24,32.47
2011-03-25,33.01
2011-03-28,33.0
2011-03-29,33.95
2011-03-30,34.59
2011-03-31,32.1
2011-04-01,32.53
2011-04-04,32.02
2011-04-05,32.62
2011-04-06,32.5
2011-04-07,32.3
2011-04-08,32.32
2011-04-11,31.83
2011-04-12,31.87
2011-04-13,32.3
2011-04-14,32.26
2011-04-15,33.2
2011-04-18,32.82
2011-04-19,32.32
2011-04-20,33.48
2011-04-21,33.53
2011-04-25,33.24
2011-04-26,33.0
2011-04-27,33.23
2011-04-28,33.53
2011-04-29,34.7
2011-05-02,34.26
2011-05-03,34.5
2011-05-04,34.49
2011-05-05,33.85
2011-05-06,31.81
2011-05-09,31.79
2011-05-10,31.92
2011-05-11,31.62
2011-05-12,31.36
2011-05-13,30.93
2011-05-16,30.63
2011-05-17,30.2
2011-05-18,30.2
2011-05-19,29.96
2011-05-20,29.39
2011-05-23,28.82
2011-05-24,28.83
2011-05-25,28.85
2011-05-26,29.19
2011-05-27,29.46
2011-05-31,29.66
2011-06-01,28.75
2011-06-02,28.06
2011-06-03,27.94
2011-06-06,27.41
2011-06-07,27.37
2011-06-08,26.62
2011-06-09,27.09
2011-06-10,26.84
2011-06-13,27.01
2011-06-14,28.43
2011-06-15,27.97
2011-06-16,28.76
2011-06-17,29.25
2011-06-20,29.28
2011-06-21,30.52
2011-06-22,32.66
2011-06-23,32.55
2011-06-24,31.93
2011-06-27,32.19
2011-06-28,32.8
2011-06-29,32.82
2011-06-30,33.07
2011-07-01,33.68
2011-07-05,33.67
2011-07-06,33.85
2011-07-07,34.74
2011-07-08,34.43
2011-07-11,33.53
2011-07-12,33.1
2011-07-13,32.81
2011-07-14,32.47
2011-07-15,32.47
2011-07-18,32.15
2011-07-19,32.14
2011-07-20,32.05
2011-07-21,32.38
2011-07-22,32.5
2011-07-25,32.51
2011-07-26,33.14
