,Close
2013-01-02,75.1
2013-01-03,73.6
2013-01-04,73.54
2013-01-07,72.76
2013-01-08,72.67
2013-01-09,72.59
2013-01-10,73.18
2013-01-11,72.78
2013-01-14,72.94
2013-01-15,73.21
2013-01-16,74.01
2013-01-17,74.0
2013-01-18,74.29
2013-01-22,74.76
2013-01-23,75.13
2013-01-24,74.32
2013-01-25,73.45
2013-01-28,73.38
2013-01-29,72.56
2013-01-30,70.94
2013-01-31,70.52
2013-02-01,71.49
2013-02-04,70.19
2013-02-05,71.06
2013-02-06,70.49
2013-02-07,70.32
2013-02-08,70.79
2013-02-11,70.03
2013-02-12,68.31
2013-02-13,68.04
2013-02-14,66.66
2013-02-15,67.9
2013-02-19,67.04
2013-02-20,67.13
2013-02-21,68.0
2013-02-22,69.97
2013-02-25,69.57
2013-02-26,69.75
2013-02-27,70.38
2013-02-28,69.8
2013-03-01,70.14
2013-03-04,70.97
2013-03-05,71.6
2013-03-06,72.13
2013-03-07,72.08
2013-03-08,71.79
2013-03-11,71.56
2013-03-12,70.63
2013-03-13,70.96
2013-03-14,71.11
2013-03-15,69.99
2013-03-18,69.66
2013-03-19,69.99
2013-03-20,70.65
2013-03-21,70.15
2013-03-22,70.74
2013-03-25,70.41
2013-03-26,70.48
2013-03-27,70.66
2013-03-28,69.64
2013-04-01,69.79
2013-04-02,70.6
2013-04-03,69.61
2013-04-04,70.28
2013-04-05,70.83
2013-04-08,72.12
2013-04-09,72.33
2013-04-10,73.2
2013-04-11,73.7
2013-04-12,73.39
2013-04-15,73.21
2013-04-16,74.03
2013-04-17,72.83
2013-04-18,74.35
2013-04-19,75.01
2013-04-22,74.54
2013-04-23,74.88
2013-04-24,73.9
2013-04-25,78.36
2013-04-26,77.38
2013-04-29,77.35
2013-04-30,77.0
2013-05-01,76.87
2013-05-02,77.48
2013-05-03,78.23
2013-05-06,77.94
2013-05-07,78.4
2013-05-08,79.26
2013-05-09,79.02
2013-05-10,78.71
2013-05-13,78.69
2013-05-14,79.77
2013-05-15,79.43
2013-05-16,77.77
2013-05-17,77.87
2013-05-20,76.73
2013-05-21,76.88
2013-05-22,74.05
2013-05-23,73.38
2013-05-24,73.72
2013-05-28,73.33
2013-05-29,71.74
2013-05-30,72.0
2013-05-31,71.25
2013-06-03,70.87
2013-06-04,69.85
2013-06-05,69.76
2013-06-06,70.64
2013-06-07,70.28
2013-06-10,69.21
2013-06-11,69.35
2013-06-12,68.0
2013-06-13,69.74
2013-06-14,70.34
2013-06-17,70.34
2013-06-18,71.33
2013-06-19,69.54
2013-06-20,67.7
2013-06-21,68.53
2013-06-24,67.33
2013-06-25,68.32
2013-06-26,70.13
2013-06-27,72.47
2013-06-28,72.39
2013-07-01,72.31
2013-07-02,72.16
2013-07-03,72.4
2013-07-05,72.21
2013-07-08,73.32
2013-07-09,72.69
2013-07-10,74.84
2013-07-11,76.72
2013-07-12,77.3
2013-07-15,77.36
2013-07-16,76.35
2013-07-17,76.44
2013-07-18,76.43
2013-07-19,76.72
2013-07-22,76.6
2013-07-23,76.85
2013-07-24,76.72
2013-07-25,73.69
2013-07-26,73.35
2013-07-29,72.49
2013-07-30,71.92
2013-07-31,70.25
2013-08-01,69.62
2013-08-02,69.3
2013-08-05,70.56
2013-08-06,69.79
2013-08-07,68.34
2013-08-08,68.69
2013-08-09,68.76
2013-08-12,67.44
2013-08-13,67.66
2013-08-14,67.77
2013-08-15,68.25
2013-08-16,67.91
2013-08-19,68.5
2013-08-20,68.96
2013-08-21,68.26
2013-08-22,68.13
2013-08-23,69.73
2013-08-26,68.99
2013-08-27,69.95
2013-08-28,69.82
2013-08-29,69.91
2013-08-30,69.42
2013-09-03,69.23
2013-09-04,69.94
2013-09-05,69.22
2013-09-06,70.55
2013-09-09,72.45
2013-09-10,73.21
2013-09-11,73.03
2013-09-12,70.83
2013-09-13,69.86
2013-09-16,70.5
2013-09-17,70.45
2013-09-18,70.6
2013-09-19,71.21
2013-09-20,70.62
2013-09-23,70.65
2013-09-24,70.33
2013-09-25,71.43
2013-09-26,73.0
2013-09-27,72.71
2013-09-30,73.03
2013-10-01,72.13
2013-10-02,71.57
2013-10-03,71.1
2013-10-04,70.66
2013-10-07,71.3
2013-10-08,70.26
2013-10-09,70.44
2013-10-10,70.81
2013-10-11,71.37
2013-10-14,71.93
2013-10-15,72.01
2013-10-16,74.27
2013-10-17,76.81
2013-10-18,75.96
2013-10-21,74.66
2013-10-22,74.87
2013-10-23,74.0
