,Close
2009-01-02,18.3233
2009-01-05,18.38
2009-01-06,20.0133
2009-01-07,19.2233
2009-01-08,19.2367
2009-01-09,18.5733
2009-01-12,17.5367
2009-01-13,17.42
2009-01-14,16.48
2009-01-15,16.3
2009-01-16,16.8367
2009-01-20,15.1433
2009-01-21,16.87
2009-01-22,15.8333
2009-01-23,15.9767
2009-01-26,16.1367
2009-01-27,16.62
2009-01-28,17.6733
2009-01-29,16.7567
2009-01-30,17.77
2009-02-02,17.5033
2009-02-03,18.1167
2009-02-04,18.3667
2009-02-05,18.4433
2009-02-06,18.84
2009-02-09,18.91
2009-02-10,17.9067
2009-02-11,18.16
2009-02-12,18.0933
2009-02-13,17.9
2009-02-17,16.62
2009-02-18,16.7867
2009-02-19,16.37
2009-02-20,15.9867
2009-02-23,14.9933
2009-02-24,15.8467
2009-02-25,15.3733
2009-02-26,17.1633
2009-02-27,16.8233
2009-03-02,15.2967
2009-03-03,15.4633
2009-03-04,16.07
2009-03-05,14.97
2009-03-06,14.86
2009-03-09,14.8367
2009-03-10,16.6833
2009-03-11,17.1367
2009-03-12,17.9
2009-03-13,17.6833
2009-03-16,17.41
2009-03-17,18.46
2009-03-18,19.0567
2009-03-19,19.4433
2009-03-20,18.3767
2009-03-23,20.0267
2009-03-24,19.7767
2009-03-25,19.16
2009-03-26,19.7033
2009-03-27,19.1433
2009-03-30,18.3733
2009-03-31,18.7067
2009-04-01,19.2467
2009-04-02,20.4833
2009-04-03,21.2867
2009-04-06,21.1667
2009-04-07,20.1
2009-04-08,20.62
2009-04-09,21.6667
2009-04-13,20.9767
2009-04-14,20.39
2009-04-15,20.5433
2009-04-16,20.65
2009-04-17,20.2333
2009-04-20,18.9367
2009-04-21,19.5467
2009-04-22,20.4333
2009-04-23,20.4367
2009-04-24,21.0967
2009-04-27,20.8233
2009-04-28,20.4933
2009-04-29,21.6267
2009-04-30,22.6333
2009-05-01,23.27
2009-05-04,23.65
2009-05-05,23.1333
2009-05-06,24.6867
2009-05-07,23.8
2009-05-08,24.7933
2009-05-11,24.05
2009-05-12,23.3367
2009-05-13,22.2667
2009-05-14,22.5567
2009-05-15,22.4167
2009-05-18,23.6667
2009-05-19,23.5267
2009-05-20,23.2667
2009-05-21,22.72
2009-05-22,22.7967
2009-05-26,23.6033
2009-05-27,23.5267
2009-05-28,23.74
2009-05-29,24.5233
2009-06-01,26.1933
2009-06-02,26.13
2009-06-03,25.32
2009-06-04,26.5133
2009-06-05,27.38
2009-06-08,26.9667
2009-06-09,27.4233
2009-06-10,27.4033
2009-06-11,27.9233
2009-06-12,28.1367
2009-06-15,26.9933
2009-06-16,26.2067
2009-06-17,25.7067
2009-06-18,25.6967
2009-06-19,25.2033
2009-06-22,24.0433
2009-06-23,23.5833
2009-06-24,23.6467
2009-06-25,23.9567
2009-06-26,23.8333
2009-06-29,24.0767
2009-06-30,23.27
2009-07-01,23.2367
2009-07-02,22.5133
2009-07-06,21.4967
2009-07-07,20.62
2009-07-08,20.79
2009-07-09,21.12
2009-07-10,21.01
2009-07-13,21.5367
2009-07-14,21.3767
2009-07-15,22.4433
2009-07-16,22.6433
2009-07-17,22.68
2009-07-20,23.3367
2009-07-21,23.4867
2009-07-22,23.2733
2009-07-23,24.3333
2009-07-24,24.8833
2009-07-27,25.0967
2009-07-28,24.3633
2009-07-29,24.0633
2009-07-30,26.9067
2009-07-31,26.9233
2009-08-03,27.91
2009-08-04,28.6533
2009-08-05,28.65
2009-08-06,28.2167
2009-08-07,29.2967
2009-08-10,29.1533
2009-08-11,28.7433
2009-08-12,29.7567
2009-08-13,29.8567
2009-08-14,28.88
2009-08-17,27.7167
2009-08-18,29.09
2009-08-19,29.1633
2009-08-20,29.7633
2009-08-21,30.3733
2009-08-24,29.9667
2009-08-25,29.8433
2009-08-26,29.5067
2009-08-27,29.5
2009-08-28,29.8
2009-08-31,28.75
2009-09-01,27.6033
2009-09-02,28.29
2009-09-03,29.01
2009-09-04,29.8667
2009-09-08,30.33
2009-09-09,31.27
2009-09-10,32.01
2009-09-11,31.7233
