,Close
2014-01-02,82.41
2014-01-03,82.51
2014-01-06,82.04
2014-01-07,78.94
2014-01-08,77.91
2014-01-09,78.59
2014-01-10,79.8
2014-01-13,76.67
2014-01-14,77.05
2014-01-15,77.41
2014-01-16,75.7
2014-01-17,77.03
2014-01-21,77.2
2014-01-22,79.75
2014-01-23,80.29
2014-01-24,80.07
2014-01-27,81.09
2014-01-28,81.85
2014-01-29,78.74
2014-01-30,80.39
2014-01-31,79.93
2014-02-03,76.67
2014-02-04,89.91
2014-02-05,91.34
2014-02-06,91.5
2014-02-07,94.22
2014-02-10,95.56
2014-02-11,96.22
2014-02-12,96.01
2014-02-13,98.41
2014-02-14,98.46
2014-02-18,98.84
2014-02-19,97.78
2014-02-20,98.0
2014-02-21,97.56
2014-02-24,98.58
2014-02-25,99.84
2014-02-26,99.32
2014-02-27,99.56
2014-02-28,98.03
2014-03-03,97.98
2014-03-04,98.88
2014-03-05,98.99
2014-03-06,98.62
2014-03-07,98.28
2014-03-10,98.27
2014-03-11,98.04
2014-03-12,98.03
2014-03-13,97.02
2014-03-14,98.12
2014-03-17,98.56
2014-03-18,96.77
2014-03-19,98.71
2014-03-20,97.67
2014-03-21,97.46
2014-03-24,94.11
2014-03-25,93.44
2014-03-26,92.04
2014-03-27,91.54
2014-03-28,92.75
2014-03-31,93.27
2014-04-01,95.25
2014-04-02,95.03
2014-04-03,92.64
2014-04-04,89.54
2014-04-07,86.59
2014-04-08,88.99
2014-04-09,90.51
2014-04-10,89.65
2014-04-11,86.87
2014-04-14,87.12
2014-04-15,89.37
2014-04-16,90.11
2014-04-17,89.93
2014-04-21,90.68
2014-04-22,93.2
2014-04-23,91.44
2014-04-24,91.14
2014-04-25,89.88
2014-04-28,88.17
2014-04-29,90.3
2014-04-30,91.2
2014-05-01,92.4
2014-05-02,93.21
2014-05-05,94.74
2014-05-06,93.15
2014-05-07,91.37
2014-05-08,91.81
2014-05-09,91.82
2014-05-12,94.45
2014-05-13,93.71
2014-05-14,93.38
2014-05-15,91.27
2014-05-16,92.85
2014-05-19,93.05
2014-05-20,91.86
2014-05-21,93.31
2014-05-22,93.66
2014-05-23,96.4
2014-05-27,95.74
2014-05-28,97.01
2014-05-29,92.28
2014-05-30,94.38
2014-06-02,94.45
2014-06-03,94.05
2014-06-04,93.84
2014-06-05,93.36
2014-06-06,94.33
2014-06-09,93.93
2014-06-10,94.38
2014-06-11,95.37
2014-06-12,94.66
2014-06-13,93.9
2014-06-16,90.29
2014-06-17,91.06
2014-06-18,90.82
2014-06-19,89.36
2014-06-20,88.6
2014-06-23,88.52
2014-06-24,88.36
2014-06-25,90.13
2014-06-26,90.12
2014-06-27,90.0
2014-06-30,88.65
2014-07-01,89.92
2014-07-02,89.72
2014-07-03,90.27
2014-07-07,91.16
2014-07-08,89.9
2014-07-09,91.38
2014-07-10,89.17
2014-07-11,88.8
2014-07-14,85.67
2014-07-15,79.44
2014-07-16,81.1
2014-07-17,81.86
2014-07-18,81.06
2014-07-21,82.23
2014-07-22,82.22
2014-07-23,81.71
2014-07-24,82.04
2014-07-25,81.13
2014-07-28,84.23
2014-07-29,83.67
2014-07-30,82.27
2014-07-31,81.48
2014-08-01,81.83
2014-08-04,77.01
2014-08-05,79.1
2014-08-06,79.71
2014-08-07,78.75
2014-08-08,79.26
2014-08-11,79.99
2014-08-12,77.44
2014-08-13,78.72
2014-08-14,78.38
