,Close
2016-01-04,26.61
2016-01-05,26.6
2016-01-06,26.5
2016-01-07,25.92
2016-01-08,25.93
2016-01-11,26.0
2016-01-12,26.46
2016-01-13,25.81
2016-01-14,26.775
2016-01-15,26.17
2016-01-19,26.58
2016-01-20,25.75
2016-01-21,25.62
2016-01-22,26.41
2016-01-25,26.0
2016-01-26,26.96
2016-01-27,26.58
2016-01-28,26.23
2016-01-29,27.1
2016-02-01,27.11
2016-02-02,26.06
2016-02-03,26.5
2016-02-04,26.23
2016-02-05,25.04
2016-02-08,24.54
2016-02-09,24.21
2016-02-10,24.46
2016-02-11,24.71
2016-02-12,24.67
2016-02-16,25.63
2016-02-17,26.47
2016-02-18,26.42
2016-02-19,26.69
2016-02-22,27.31
2016-02-23,27.02
2016-02-24,27.33
2016-02-25,27.38
2016-02-26,27.2
2016-02-29,27.16
2016-03-01,28.03
2016-03-02,27.68
2016-03-03,28.0
2016-03-04,27.99
2016-03-07,28.13
2016-03-08,27.83
2016-03-09,28.08
2016-03-10,27.98
2016-03-11,28.19
2016-03-14,28.14
2016-03-15,28.115
2016-03-16,28.21
2016-03-17,28.21
2016-03-18,28.19
2016-03-21,28.04
2016-03-22,28.0
2016-03-23,27.99
2016-03-24,28.02
2016-03-28,27.99
2016-03-29,28.17
2016-03-30,28.2
2016-03-31,28.2
2016-04-01,29.12
2016-04-04,29.01
2016-04-05,28.8
2016-04-06,29.36
2016-04-07,28.82
2016-04-08,28.78
2016-04-11,28.68
2016-04-12,29.42
2016-04-13,29.88
2016-04-14,29.79
2016-04-15,29.84
2016-04-18,30.08
2016-04-19,30.04
2016-04-20,29.97
2016-04-21,30.09
2016-04-22,30.75
2016-04-25,30.93
2016-04-26,30.87
2016-04-27,30.78
2016-04-28,30.57
2016-04-29,30.12
2016-05-02,30.24
2016-05-03,29.69
2016-05-04,29.58
2016-05-05,29.82
2016-05-06,29.52
2016-05-09,29.4
2016-05-10,30.02
2016-05-11,29.59
2016-05-12,29.35
2016-05-13,29.24
2016-05-16,29.13
2016-05-17,28.83
2016-05-18,28.48
2016-05-19,28.25
2016-05-20,28.46
2016-05-23,28.44
2016-05-24,28.84
2016-05-25,29.2
2016-05-26,28.97
2016-05-27,29.26
2016-05-31,29.24
2016-06-01,29.7
2016-06-02,29.86
2016-06-03,29.6
2016-06-06,29.73
2016-06-07,29.68
2016-06-08,29.69
2016-06-09,29.41
2016-06-10,28.99
2016-06-13,29.08
2016-06-14,28.98
2016-06-15,28.97
2016-06-16,29.02
2016-06-17,28.7
2016-06-20,28.94
2016-06-21,28.59
2016-06-22,28.67
2016-06-23,28.98
2016-06-24,26.76
2016-06-27,26.26
2016-06-28,26.62
2016-06-29,27.07
2016-06-30,27.25
2016-07-01,27.51
2016-07-05,26.88
2016-07-06,27.12
2016-07-07,27.26
2016-07-08,28.0
2016-07-11,28.09
2016-07-12,28.08
2016-07-13,28.41
2016-07-14,28.62
2016-07-15,28.59
2016-07-18,28.58
2016-07-19,28.45
2016-07-20,27.8
2016-07-21,27.72
2016-07-22,27.77
2016-07-25,27.45
2016-07-26,27.4
2016-07-27,27.43
2016-07-28,27.07
2016-07-29,27.03
2016-08-01,27.14
2016-08-02,27.04
2016-08-03,27.42
2016-08-04,26.21
2016-08-05,26.44
2016-08-08,26.23
2016-08-09,26.18
2016-08-10,26.18
2016-08-11,26.64
2016-08-12,26.57
2016-08-15,26.3
2016-08-16,26.13
