,Close
2011-01-03,23.975
2011-01-04,23.59
2011-01-05,23.6125
2011-01-06,23.6575
2011-01-07,23.72
2011-01-10,23.8225
2011-01-11,24.02
2011-01-12,23.9875
2011-01-13,23.855
2011-01-14,24.2225
2011-01-18,24.415
2011-01-19,24.04
2011-01-20,24.0375
2011-01-21,24.0975
2011-01-24,24.3
2011-01-25,24.075
2011-01-26,24.0975
2011-01-27,24.22
2011-01-28,24.1225
2011-01-31,24.7125
2011-02-01,25.0275
2011-02-02,24.6625
2011-02-03,24.3125
2011-02-04,24.72
2011-02-07,24.9325
2011-02-08,25.1575
2011-02-09,24.3625
2011-02-10,24.5425
2011-02-11,24.6775
2011-02-14,24.5425
2011-02-15,24.7725
2011-02-16,24.915
2011-02-17,25.0225
2011-02-18,24.945
2011-02-22,24.53
2011-02-23,24.11
2011-02-24,24.4075
2011-02-25,25.1975
2011-02-28,25.1125
2011-03-01,25.2075
2011-03-02,25.4675
2011-03-03,26.135
2011-03-04,26.0725
2011-03-07,25.655
2011-03-08,25.765
2011-03-09,25.9775
2011-03-10,25.5575
2011-03-11,25.8
2011-03-14,25.8825
2011-03-15,25.375
2011-03-16,25.255
2011-03-17,25.67
2011-03-18,25.775
2011-03-21,26.5025
2011-03-22,26.95
2011-03-23,27.02
2011-03-24,27.1625
2011-03-25,27.245
2011-03-28,27.2075
2011-03-29,27.4625
2011-03-30,27.5725
2011-03-31,27.8
2011-04-01,28.225
2011-04-04,28.4075
2011-04-05,28.6075
2011-04-06,28.1525
2011-04-07,27.3975
2011-04-08,27.2675
2011-04-11,27.3775
2011-04-12,27.2275
2011-04-13,27.8475
2011-04-14,27.9025
2011-04-15,27.93
2011-04-18,27.4725
2011-04-19,27.4775
2011-04-20,28.145
2011-04-21,28.0775
2011-04-25,27.8575
2011-04-26,27.91
2011-04-27,27.9825
2011-04-28,28.0225
2011-04-29,30.045
2011-05-02,30.31
2011-05-03,29.82
2011-05-04,29.7
2011-05-05,29.5025
2011-05-06,29.785
2011-05-09,29.995
2011-05-10,29.975
2011-05-11,30.0225
2011-05-12,29.94
2011-05-13,29.82
2011-05-16,29.56
2011-05-17,29.48
2011-05-18,30.71
2011-05-19,31.05
2011-05-20,30.8888
2011-05-23,30.27
2011-05-24,29.7175
2011-05-25,30.045
2011-05-26,30.12
2011-05-27,30.07
2011-05-31,30.025
2011-06-01,29.7775
2011-06-02,29.5
2011-06-03,29.0675
2011-06-06,29.28
2011-06-07,29.1725
