,Close
2010-01-04,31.12
2010-01-05,30.97
2010-01-06,30.97
2010-01-07,30.39
2010-01-08,30.14
2010-01-11,29.74
2010-01-12,29.09
2010-01-13,29.49
2010-01-14,29.77
2010-01-15,29.08
2010-01-19,29.61
2010-01-20,29.16
2010-01-21,29.06
2010-01-22,27.73
2010-01-25,27.69
2010-01-26,28.15
2010-01-27,27.97
2010-01-28,27.36
2010-01-29,27.22
2010-02-01,28.33
2010-02-02,28.48
2010-02-03,28.44
2010-02-04,27.0
2010-02-05,27.24
2010-02-08,27.19
2010-02-09,27.41
2010-02-10,27.19
2010-02-11,28.03
2010-02-12,27.86
2010-02-16,28.54
2010-02-17,28.78
2010-02-18,29.18
2010-02-19,29.12
2010-02-22,29.01
2010-02-23,27.99
2010-02-24,28.28
2010-02-25,28.14
2010-02-26,28.05
2010-03-01,28.63
2010-03-02,28.75
2010-03-03,29.35
2010-03-04,29.88
2010-03-05,30.27
2010-03-08,30.01
2010-03-09,30.21
2010-03-10,30.36
2010-03-11,30.62
2010-03-12,30.76
2010-03-15,30.76
2010-03-16,30.61
2010-03-17,30.72
2010-03-18,30.2
2010-03-19,29.97
2010-03-22,30.0
2010-03-23,30.17
2010-03-24,30.7
2010-03-25,28.9
2010-03-26,28.39
2010-03-29,28.16
2010-03-30,28.93
2010-03-31,29.27
2010-04-01,29.94
2010-04-05,30.36
2010-04-06,30.39
2010-04-07,30.34
2010-04-08,30.48
2010-04-09,30.81
2010-04-12,30.81
2010-04-13,31.16
2010-04-14,32.09
2010-04-15,31.67
2010-04-16,31.1
2010-04-19,30.7
2010-04-20,31.03
2010-04-21,31.1
2010-04-22,31.29
2010-04-23,31.46
2010-04-26,31.54
2010-04-27,30.75
2010-04-28,30.62
2010-04-29,30.78
2010-04-30,29.87
2010-05-03,30.6
2010-05-04,29.7
2010-05-05,29.51
2010-05-06,28.2
2010-05-07,27.49
2010-05-10,28.9
2010-05-11,29.33
2010-05-12,30.12
2010-05-13,30.76
2010-05-14,30.4
2010-05-17,30.52
2010-05-18,30.06
2010-05-19,29.36
2010-05-20,28.26
2010-05-21,29.22
2010-05-24,29.22
2010-05-25,28.92
2010-05-26,28.92
2010-05-27,29.93
2010-05-28,29.31
2010-06-01,28.43
2010-06-02,28.84
2010-06-03,30.07
2010-06-04,28.62
2010-06-07,27.96
2010-06-08,28.7
2010-06-09,29.02
2010-06-10,30.07
2010-06-11,31.35
2010-06-14,31.25
2010-06-15,32.0
2010-06-16,32.23
2010-06-17,32.13
2010-06-18,31.92
2010-06-21,31.58
2010-06-22,30.86
2010-06-23,31.36
2010-06-24,30.78
2010-06-25,31.07
2010-06-28,30.99
2010-06-29,29.39
2010-06-30,28.94
2010-07-01,29.2
2010-07-02,28.91
2010-07-06,29.44
2010-07-07,30.71
2010-07-08,30.55
2010-07-09,30.64
2010-07-12,30.86
2010-07-13,31.59
2010-07-14,32.22
2010-07-15,32.47
2010-07-16,31.58
2010-07-19,31.82
2010-07-20,32.03
2010-07-21,31.61
2010-07-22,32.34
2010-07-23,33.21
2010-07-26,33.22
2010-07-27,32.4
2010-07-28,31.8
2010-07-29,32.01
2010-07-30,32.15
2010-08-02,32.62
2010-08-03,32.04
2010-08-04,33.83
2010-08-05,33.25
2010-08-06,33.45
2010-08-09,33.49
2010-08-10,33.13
2010-08-11,31.95
2010-08-12,30.85
2010-08-13,30.93
2010-08-16,31.02
2010-08-17,31.88
2010-08-18,31.79
2010-08-19,31.41
2010-08-20,32.54
2010-08-23,32.77
2010-08-24,33.01
2010-08-25,33.25
2010-08-26,34.54
2010-08-27,35.16
2010-08-30,34.52
2010-08-31,34.55
2010-09-01,35.65
2010-09-02,36.54
2010-09-03,36.98
2010-09-07,36.93
2010-09-08,37.08
2010-09-09,36.98
2010-09-10,37.41
2010-09-13,38.95
2010-09-14,38.6
2010-09-15,38.74
2010-09-16,37.44
2010-09-17,38.34
2010-09-20,38.98
2010-09-21,38.43
2010-09-22,36.75
2010-09-23,40.07
2010-09-24,41.26
2010-09-27,40.82
2010-09-28,41.27
2010-09-29,41.03
2010-09-30,41.0
2010-10-01,41.27
2010-10-04,40.62
2010-10-05,41.5
2010-10-06,38.32
2010-10-07,38.17
2010-10-08,38.67
2010-10-11,38.41
2010-10-12,39.15
2010-10-13,39.41
2010-10-14,39.67
2010-10-15,40.4
2010-10-18,39.82
2010-10-19,38.68
2010-10-20,38.92
2010-10-21,39.15
2010-10-22,40.66
2010-10-25,41.08
2010-10-26,41.27
2010-10-27,42.46
2010-10-28,42.22
2010-10-29,42.26
2010-11-01,42.56
2010-11-02,43.16
2010-11-03,42.98
2010-11-04,43.43
2010-11-05,43.1
2010-11-08,43.01
2010-11-09,42.94
2010-11-10,43.68
2010-11-11,43.57
2010-11-12,41.96
2010-11-15,41.31
2010-11-16,40.91
2010-11-17,40.93
2010-11-18,41.76
2010-11-19,41.87
2010-11-22,42.67
2010-11-23,42.25
2010-11-24,43.31
2010-11-26,43.32
2010-11-29,43.04
2010-11-30,43.5
2010-12-01,46.23
2010-12-02,46.93
2010-12-03,47.45
2010-12-06,46.92
2010-12-07,47.5
2010-12-08,47.99
2010-12-09,47.71
2010-12-10,48.27
2010-12-13,48.45
2010-12-14,47.68
2010-12-15,47.25
2010-12-16,48.19
2010-12-17,47.83
2010-12-20,47.92
2010-12-21,47.88
2010-12-22,46.7
2010-12-23,46.51
2010-12-27,46.12
2010-12-28,46.07
2010-12-29,46.62
2010-12-30,46.25
2010-12-31,45.65
2011-01-03,46.56
2011-01-04,46.15
2011-01-05,46.55
2011-01-06,46.25
2011-01-07,45.71
2011-01-10,46.5
2011-01-11,46.3
2011-01-12,46.06
2011-01-13,45.54
2011-01-14,45.86
2011-01-18,45.73
2011-01-19,45.57
2011-01-20,43.28
2011-01-21,42.76
2011-01-24,42.08
2011-01-25,40.0
2011-01-26,42.19
2011-01-27,41.38
2011-01-28,41.06
2011-01-31,41.32
2011-02-01,41.99
2011-02-02,42.58
2011-02-03,43.07
2011-02-04,43.57
2011-02-07,44.11
2011-02-08,44.46
2011-02-09,44.39
2011-02-10,44.72
2011-02-11,44.88
2011-02-14,45.56
2011-02-15,45.29
2011-02-16,45.66
2011-02-17,45.58
2011-02-18,45.43
2011-02-22,43.03
2011-02-23,40.58
2011-02-24,40.59
2011-02-25,41.34
2011-02-28,41.28
2011-03-01,40.35
2011-03-02,40.71
2011-03-03,41.86
2011-03-04,40.96
2011-03-07,40.35
2011-03-08,41.3
2011-03-09,41.34
2011-03-10,40.35
2011-03-11,41.06
2011-03-14,40.21
2011-03-15,40.11
2011-03-16,39.58
2011-03-17,39.29
2011-03-18,39.11
2011-03-21,39.81
2011-03-22,39.56
2011-03-23,39.97
2011-03-24,47.26
2011-03-25,46.34
2011-03-28,46.09
2011-03-29,46.91
2011-03-30,46.1
2011-03-31,45.39
2011-04-01,46.31
2011-04-04,47.03
2011-04-05,46.38
2011-04-06,45.17
2011-04-07,45.12
2011-04-08,45.2
2011-04-11,45.04
2011-04-12,44.59
2011-04-13,45.7
2011-04-14,45.49
2011-04-15,45.92
2011-04-18,45.26
2011-04-19,45.11
2011-04-20,47.71
2011-04-21,47.59
2011-04-25,47.22
2011-04-26,46.48
2011-04-27,46.72
2011-04-28,46.74
2011-04-29,47.47
2011-05-02,47.27
2011-05-03,47.0
2011-05-04,45.84
2011-05-05,45.6
2011-05-06,45.79
2011-05-09,46.1
2011-05-10,46.86
2011-05-11,46.35
2011-05-12,47.44
2011-05-13,46.87
2011-05-16,45.5
2011-05-17,45.2
2011-05-18,45.59
2011-05-19,45.64
2011-05-20,45.74
2011-05-23,44.03
2011-05-24,42.98
2011-05-25,43.07
2011-05-26,43.45
2011-05-27,43.35
2011-05-31,43.6
2011-06-01,42.91
2011-06-02,43.03
2011-06-03,42.12
2011-06-06,42.38
2011-06-07,42.47
2011-06-08,41.81
2011-06-09,42.49
2011-06-10,41.49
2011-06-13,41.63
2011-06-14,42.26
